,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-33624148.003895,-190237698.081735,312670127.943631,74916666.666667,
Tax Rate For Calcs,0.17332,0.204337,0.204895,0.193084,
Normalized EBITDA,1814000000.0,250000000.0,4301000000.0,4562000000.0,
Total Unusual Items,-194000000.0,-907000000.0,1526000000.0,388000000.0,
Total Unusual Items Excluding Goodwill,-194000000.0,-931000000.0,1526000000.0,388000000.0,
Net Income From Continuing Operation Net Minority Interest,850000000.0,-954000000.0,4288000000.0,3757000000.0,
Reconciled Depreciation,5000000.0,11000000.0,14000000.0,13000000.0,
Reconciled Cost Of Revenue,1366000000.0,1214000000.0,1126000000.0,1417000000.0,
EBITDA,1620000000.0,-657000000.0,5827000000.0,4950000000.0,
EBIT,1615000000.0,-668000000.0,5813000000.0,4937000000.0,
Net Interest Income,-572000000.0,-522000000.0,-424000000.0,-292000000.0,
Interest Expense,588000000.0,531000000.0,420000000.0,281000000.0,
Interest Income,16000000.0,12000000.0,1000000.0,0.0,
Normalized Income,1010375851.996105,-189237698.081735,3074670127.943631,3443916666.666667,
Net Income From Continuing And Discontinued Operation,850000000.0,-954000000.0,4288000000.0,3757000000.0,
Total Expenses,1507000000.0,1345000000.0,1256000000.0,1542000000.0,
Rent Expense Supplemental,47000000.0,43000000.0,39000000.0,28000000.0,
Diluted Average Shares,630529305.0,630529305.0,631076285.0,633439975.0,
Basic Average Shares,630529305.0,630529305.0,631076285.0,633439975.0,
Diluted EPS,1.348,-1.512,6.794,5.93,
Basic EPS,1.348,-1.512,6.794,5.93,
Diluted NI Availto Com Stockholders,850000000.0,-954000000.0,4288000000.0,3757000000.0,
Net Income Common Stockholders,850000000.0,-954000000.0,4288000000.0,3757000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,850000000.0,-954000000.0,4288000000.0,3757000000.0,
Net Income Including Noncontrolling Interests,849000000.0,-954000000.0,4288000000.0,3757000000.0,
Net Income Continuous Operations,849000000.0,-954000000.0,4288000000.0,3757000000.0,
Tax Provision,178000000.0,-245000000.0,1105000000.0,899000000.0,
Pretax Income,1027000000.0,-1199000000.0,5393000000.0,4656000000.0,
Special Income Charges,0.0,-24000000.0,0.0,,
Net Non Operating Interest Income Expense,-572000000.0,-522000000.0,-424000000.0,-292000000.0,
Total Other Finance Cost,,3000000.0,5000000.0,11000000.0,-1000000.0
Interest Expense Non Operating,588000000.0,531000000.0,420000000.0,281000000.0,
Interest Income Non Operating,16000000.0,12000000.0,1000000.0,0.0,
Operating Income,2009000000.0,1888000000.0,1550000000.0,1542000000.0,
Operating Expense,141000000.0,131000000.0,130000000.0,125000000.0,
Selling General And Administration,94000000.0,88000000.0,91000000.0,97000000.0,
General And Administrative Expense,94000000.0,88000000.0,91000000.0,97000000.0,
Rent And Landing Fees,47000000.0,43000000.0,39000000.0,28000000.0,
Gross Profit,2150000000.0,2019000000.0,1680000000.0,1667000000.0,
Cost Of Revenue,1366000000.0,1214000000.0,1126000000.0,1417000000.0,
Total Revenue,3516000000.0,3233000000.0,2806000000.0,3084000000.0,
Operating Revenue,3516000000.0,3233000000.0,2806000000.0,3084000000.0,
