,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,623441.0,484127.0,133319.105435,100906.911289,
Tax Rate For Calcs,0.217,0.217,0.234304,0.210223,
Normalized EBITDA,90184000.0,101907000.0,67162000.0,62643000.0,
Total Unusual Items,2873000.0,2231000.0,569000.0,480000.0,
Total Unusual Items Excluding Goodwill,2873000.0,2231000.0,569000.0,480000.0,
Net Income From Continuing Operation Net Minority Interest,36860000.0,45392000.0,24343000.0,22729000.0,
Reconciled Depreciation,34847000.0,34133000.0,29268000.0,29277000.0,
Reconciled Cost Of Revenue,590170000.0,566031000.0,518655000.0,449655000.0,
EBITDA,93057000.0,104138000.0,67731000.0,63123000.0,
EBIT,58210000.0,70005000.0,38463000.0,33846000.0,
Net Interest Income,-8749000.0,-10029000.0,-6425000.0,-1464000.0,
Interest Expense,11144000.0,12061000.0,6671000.0,5067000.0,
Interest Income,2422000.0,2055000.0,246000.0,134000.0,
Normalized Income,34610441.0,43645127.0,23907319.105435,22349906.911289,
Net Income From Continuing And Discontinued Operation,36860000.0,45392000.0,24343000.0,22729000.0,
Total Expenses,908882000.0,877301000.0,803266000.0,714102000.0,
Total Operating Income As Reported,57277000.0,68151000.0,39570000.0,30037000.0,
Diluted Average Shares,18759398.0,18759000.0,18759398.0,18759000.0,
Basic Average Shares,18759398.0,18759000.0,18759398.0,18759000.0,
Diluted EPS,1.96,2.42,1.3,1.21,
Basic EPS,1.96,2.42,1.3,1.21,
Diluted NI Availto Com Stockholders,36860000.0,45392000.0,24343000.0,22729000.0,
Net Income Common Stockholders,36860000.0,45392000.0,24343000.0,22729000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,36860000.0,45392000.0,24343000.0,22729000.0,
Net Income Including Noncontrolling Interests,36860000.0,45392000.0,24343000.0,22729000.0,
Net Income Continuous Operations,36860000.0,45392000.0,24343000.0,22729000.0,
Tax Provision,10206000.0,12552000.0,7449000.0,6050000.0,
Pretax Income,47066000.0,57944000.0,31792000.0,28779000.0,
Other Non Operating Income Expenses,489000.0,465000.0,267000.0,,22000.0
Special Income Charges,2873000.0,2231000.0,569000.0,480000.0,
Other Special Charges,-2873000.0,-2231000.0,-569000.0,-480000.0,
Restructuring And Mergern Acquisition,,0.0,0.0,-2389000.0,0.0
Net Non Operating Interest Income Expense,-8749000.0,-10029000.0,-6425000.0,-1464000.0,
Total Other Finance Cost,27000.0,23000.0,1353000.0,-3469000.0,
Interest Expense Non Operating,11144000.0,12061000.0,6671000.0,5067000.0,
Interest Income Non Operating,2422000.0,2055000.0,246000.0,134000.0,
Operating Income,53774000.0,65455000.0,38734000.0,29107000.0,
Operating Expense,318712000.0,311270000.0,284611000.0,264447000.0,
Other Operating Expenses,84587000.0,83035000.0,74672000.0,56581000.0,
Depreciation And Amortization In Income Statement,34847000.0,34133000.0,29268000.0,29277000.0,
Amortization,1723000.0,1358000.0,938000.0,,
Depreciation Income Statement,33124000.0,32775000.0,28330000.0,29277000.0,
Selling General And Administration,,80671000.0,73853000.0,56581000.0,57838000.0
General And Administrative Expense,,80671000.0,73853000.0,56581000.0,57838000.0
Gross Profit,372486000.0,376725000.0,323345000.0,293554000.0,
Cost Of Revenue,590170000.0,566031000.0,518655000.0,449655000.0,
Total Revenue,962656000.0,942756000.0,842000000.0,743209000.0,
Operating Revenue,962656000.0,942756000.0,842000000.0,743209000.0,
