,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,20392830.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.135,0.068,0.07,0.065,
Normalized EBITDA,1436458000.0,1278301000.0,1011581000.0,730937000.0,
Total Unusual Items,151058000.0,0.0,,,
Total Unusual Items Excluding Goodwill,151058000.0,0.0,,,
Net Income From Continuing Operation Net Minority Interest,1244015000.0,1070858000.0,843361000.0,605435000.0,
Reconciled Depreciation,142222000.0,124683000.0,100378000.0,80646000.0,
Reconciled Cost Of Revenue,-49197000.0,-45810000.0,,-25955000.0,-11116000.0
EBITDA,1587516000.0,1278301000.0,1011581000.0,730937000.0,
EBIT,1445294000.0,1153618000.0,911203000.0,650291000.0,
Net Interest Income,15676000.0,9262000.0,138000.0,-2960000.0,
Interest Expense,6370000.0,5011000.0,4610000.0,2800000.0,
Interest Income,22335000.0,14364000.0,5312000.0,230000.0,
Normalized Income,1113349830.0,1070858000.0,843361000.0,605435000.0,
Net Income From Continuing And Discontinued Operation,1244015000.0,1070858000.0,843361000.0,605435000.0,
Total Expenses,794590000.0,655871000.0,548675000.0,414773000.0,
Rent Expense Supplemental,444000.0,321000.0,,,
Total Operating Income As Reported,1419553000.0,1142730000.0,908062000.0,654004000.0,
Diluted Average Shares,210473394.0,217069145.0,217505567.0,221818828.0,
Basic Average Shares,209562751.0,213566498.0,213267500.0,213714575.0,
Diluted EPS,5.94,4.93,3.88,2.73,
Basic EPS,5.94,5.01,3.95,2.83,
Diluted NI Availto Com Stockholders,1244015000.0,1070858000.0,843361000.0,605435000.0,
Net Income Common Stockholders,1244015000.0,1070858000.0,843361000.0,605435000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1244015000.0,1070858000.0,843361000.0,605435000.0,
Net Income Including Noncontrolling Interests,1244015000.0,1070858000.0,843361000.0,605435000.0,
Net Income Continuous Operations,1244015000.0,1070858000.0,843361000.0,605435000.0,
Tax Provision,194909000.0,77749000.0,63232000.0,42056000.0,
Pretax Income,1438924000.0,1148607000.0,906593000.0,647491000.0,
Special Income Charges,151058000.0,0.0,,,
Restructuring And Mergern Acquisition,-151058000.0,0.0,,,
Net Non Operating Interest Income Expense,15676000.0,9262000.0,138000.0,-2960000.0,
Total Other Finance Cost,289000.0,91000.0,564000.0,390000.0,
Interest Expense Non Operating,6370000.0,5011000.0,4610000.0,2800000.0,
Interest Income Non Operating,22335000.0,14364000.0,5312000.0,230000.0,
Operating Income,1268495000.0,1142730000.0,908062000.0,654004000.0,
Operating Expense,843787000.0,701681000.0,548675000.0,414773000.0,
Other Operating Expenses,214089000.0,175567000.0,158699000.0,126962000.0,
Depreciation And Amortization In Income Statement,142222000.0,124683000.0,100378000.0,80646000.0,
Amortization,,82295000.0,66692000.0,,15307000.0
Depreciation Income Statement,142222000.0,42388000.0,33686000.0,80646000.0,
Rent And Landing Fees,444000.0,321000.0,,,
Gross Profit,2112282000.0,1844411000.0,,1094732000.0,572250000.0
Cost Of Revenue,-49197000.0,-45810000.0,,-25955000.0,-11116000.0
Total Revenue,2063085000.0,1798601000.0,1456737000.0,1068777000.0,
Operating Revenue,2063085000.0,1798601000.0,1456737000.0,1068777000.0,
