,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,-4826288.032632,38312.348539,-9451.103703,
Tax Rate For Calcs,0.0,0.045079,0.033637,0.001574,
Normalized EBITDA,-41472000.0,200337000.0,-47580000.0,-59223000.0,
Total Unusual Items,-1740000.0,-107063000.0,1139000.0,-6005000.0,
Total Unusual Items Excluding Goodwill,-1740000.0,-107063000.0,1139000.0,-6005000.0,
Net Income From Continuing Operation Net Minority Interest,-52467000.0,-109094000.0,-126409000.0,-40362000.0,
Reconciled Depreciation,7182000.0,51673000.0,68321000.0,63972000.0,
Reconciled Cost Of Revenue,34333000.0,72059000.0,69295000.0,49118000.0,
EBITDA,-43212000.0,93274000.0,-46441000.0,-65228000.0,
EBIT,-50394000.0,-106105000.0,-116785000.0,-138304000.0,
Net Interest Income,1155000.0,-4945000.0,-14023000.0,-10271000.0,
Interest Expense,2073000.0,8139000.0,14024000.0,12280000.0,
Interest Income,3228000.0,3194000.0,1000.0,2009000.0,
Normalized Income,-50727000.0,-6857288.032632,-127509687.651461,-34366451.103703,
Net Income From Continuing And Discontinued Operation,-52467000.0,-109094000.0,-126409000.0,-40362000.0,
Total Expenses,222415000.0,495006000.0,406043000.0,397790000.0,
Total Operating Income As Reported,-49856000.0,-216328000.0,-117711000.0,-134309000.0,
Diluted Average Shares,26210567.0,22947603.0,3950610.0,122593.0,
Basic Average Shares,17875239.0,22172603.0,3884610.0,118882.0,
Diluted EPS,-2.39,-4.92,-32.0,-538.857798,
Basic EPS,-2.39,-4.92,-32.0,-538.857798,
Diluted NI Availto Com Stockholders,-52467000.0,-109094000.0,-126409000.0,-40362000.0,
Net Income Common Stockholders,-52467000.0,-109094000.0,-126409000.0,-40362000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-52467000.0,-109094000.0,-126409000.0,-40362000.0,
Minority Interests,0.0,0.0,0.0,2543000.0,
Net Income Including Noncontrolling Interests,-52467000.0,-109094000.0,-126409000.0,-150348000.0,
Net Income Continuous Operations,-52467000.0,-109094000.0,-126409000.0,-150347000.0,
Tax Provision,0.0,-5150000.0,-4400000.0,-237000.0,
Pretax Income,-52467000.0,-114244000.0,-130809000.0,-150584000.0,
Special Income Charges,,,0.0,0.0,
Net Non Operating Interest Income Expense,1155000.0,-4945000.0,-14023000.0,-10271000.0,
Interest Expense Non Operating,2073000.0,8139000.0,14024000.0,12280000.0,
Interest Income Non Operating,3228000.0,3194000.0,1000.0,2009000.0,
Operating Income,-49856000.0,-216328000.0,-117712000.0,-134311000.0,
Operating Expense,188082000.0,422947000.0,336748000.0,348672000.0,
Other Operating Expenses,60127000.0,81813000.0,95829000.0,92256000.0,
Depreciation And Amortization In Income Statement,7182000.0,199379000.0,70344000.0,73076000.0,
Depreciation Income Statement,7182000.0,199379000.0,70344000.0,73076000.0,
Research And Development,,-5513000.0,-12687000.0,,
Selling General And Administration,,,92655000.0,91479000.0,69961000.0
General And Administrative Expense,,,92655000.0,91479000.0,69961000.0
Gross Profit,138226000.0,206619000.0,219036000.0,214361000.0,
Cost Of Revenue,34333000.0,72059000.0,69295000.0,49118000.0,
Total Revenue,172559000.0,278678000.0,288331000.0,263479000.0,
Operating Revenue,172559000.0,278678000.0,288331000.0,263479000.0,
