,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,42000.0,
Tax Rate For Calcs,0.207,0.207534,0.208,0.21,
Normalized EBITDA,723200000.0,528700000.0,448700000.0,303000000.0,
Total Unusual Items,,,0.0,200000.0,400000.0
Total Unusual Items Excluding Goodwill,,,0.0,200000.0,400000.0
Net Income From Continuing Operation Net Minority Interest,481400000.0,338700000.0,293800000.0,156500000.0,
Reconciled Depreciation,86000000.0,77200000.0,70600000.0,79000000.0,
Reconciled Cost Of Revenue,-10700000.0,-13000000.0,-10000000.0,-4600000.0,
EBITDA,723200000.0,528700000.0,448700000.0,303200000.0,
EBIT,637200000.0,451400000.0,378100000.0,224200000.0,
Net Interest Income,-25400000.0,-19200000.0,-5300000.0,-25200000.0,
Interest Expense,30100000.0,24000000.0,7400000.0,26100000.0,
Interest Income,4700000.0,4800000.0,2100000.0,900000.0,
Normalized Income,481400000.0,338700000.0,293800000.0,156342000.0,
Net Income From Continuing And Discontinued Operation,481400000.0,338700000.0,293800000.0,156500000.0,
Total Expenses,762100000.0,558000000.0,513200000.0,504600000.0,
Total Operating Income As Reported,633800000.0,448200000.0,377500000.0,223900000.0,
Diluted Average Shares,96307889.0,97740840.0,100345982.0,101180647.0,
Basic Average Shares,96030892.0,97638241.0,100345982.0,100999394.0,
Diluted EPS,5.0,3.47,2.93,1.55,
Basic EPS,5.01,3.47,2.93,1.55,
Diluted NI Availto Com Stockholders,481400000.0,338700000.0,293800000.0,156500000.0,
Net Income Common Stockholders,481400000.0,338700000.0,293800000.0,156500000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Preferred Stock Dividends,,,,,46059000.0
Net Income,481400000.0,338700000.0,293800000.0,156500000.0,
Net Income Including Noncontrolling Interests,481400000.0,338700000.0,293800000.0,156500000.0,
Net Income Continuous Operations,481400000.0,338700000.0,293800000.0,156500000.0,
Tax Provision,125700000.0,88700000.0,76900000.0,41600000.0,
Pretax Income,607100000.0,427400000.0,370700000.0,198100000.0,
Net Non Operating Interest Income Expense,-25400000.0,-19200000.0,-5300000.0,-25200000.0,
Total Other Finance Cost,,,-500000.0,,-100000.0
Interest Expense Non Operating,30100000.0,24000000.0,7400000.0,26100000.0,
Interest Income Non Operating,4700000.0,4800000.0,2100000.0,900000.0,
Operating Income,632500000.0,446700000.0,376000000.0,223500000.0,
Operating Expense,772800000.0,571000000.0,523200000.0,509200000.0,
Other Operating Expenses,122800000.0,99800000.0,116000000.0,150800000.0,
Depreciation And Amortization In Income Statement,86000000.0,77300000.0,70600000.0,79000000.0,
Depreciation Income Statement,86000000.0,77300000.0,70600000.0,79000000.0,
Selling General And Administration,359400000.0,225300000.0,184300000.0,150100000.0,
General And Administrative Expense,359400000.0,225300000.0,184300000.0,150100000.0,
Gross Profit,1405300000.0,1017700000.0,899200000.0,732700000.0,
Cost Of Revenue,-10700000.0,-13000000.0,-10000000.0,-4600000.0,
Total Revenue,1394600000.0,1004700000.0,889200000.0,728100000.0,
Operating Revenue,1394600000.0,1004700000.0,889200000.0,728100000.0,
