,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-2821000.0,8346000.0,86310000.0,60078000.0,
Tax Rate For Calcs,0.217,0.214,0.21,0.186,
Normalized EBITDA,5166000000.0,6126000000.0,8457000000.0,4675000000.0,
Total Unusual Items,-13000000.0,39000000.0,411000000.0,323000000.0,
Total Unusual Items Excluding Goodwill,-13000000.0,39000000.0,411000000.0,323000000.0,
Net Income From Continuing Operation Net Minority Interest,2861000000.0,3697000000.0,5874000000.0,3004000000.0,
Reconciled Depreciation,1388000000.0,1360000000.0,1345000000.0,1261000000.0,
Reconciled Cost Of Revenue,11612000000.0,10679000000.0,10205000000.0,9645000000.0,
EBITDA,5153000000.0,6165000000.0,8868000000.0,4998000000.0,
EBIT,3765000000.0,4805000000.0,7523000000.0,3737000000.0,
Net Interest Income,-25000000.0,-66000000.0,-62000000.0,-43000000.0,
Interest Expense,105000000.0,100000000.0,82000000.0,46000000.0,
Interest Income,35000000.0,50000000.0,11000000.0,8000000.0,
Normalized Income,2871179000.0,3666346000.0,5549310000.0,2741078000.0,
Net Income From Continuing And Discontinued Operation,2861000000.0,3697000000.0,5874000000.0,3004000000.0,
Total Expenses,19126000000.0,18116000000.0,17021000000.0,16171000000.0,
Total Operating Income As Reported,3721000000.0,4755000000.0,7527000000.0,3731000000.0,
Diluted Average Shares,,160470138.0,161975028.0,161925685.0,161925685.0
Basic Average Shares,,160470138.0,161975028.0,161925685.0,161925685.0
Diluted EPS,,23.0,36.3,18.5,12.2
Basic EPS,,23.0,36.3,18.5,12.2
Diluted NI Availto Com Stockholders,2861000000.0,3697000000.0,5874000000.0,3004000000.0,
Net Income Common Stockholders,2861000000.0,3697000000.0,5874000000.0,3004000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,2861000000.0,3697000000.0,5874000000.0,3004000000.0,
Net Income Including Noncontrolling Interests,2861000000.0,3697000000.0,5874000000.0,3004000000.0,
Net Income Continuous Operations,2862000000.0,3697000000.0,5874000000.0,3003000000.0,
Tax Provision,798000000.0,1008000000.0,1567000000.0,688000000.0,
Pretax Income,3660000000.0,4705000000.0,7441000000.0,3691000000.0,
Other Non Operating Income Expenses,57000000.0,48000000.0,150000000.0,101000000.0,
Special Income Charges,28000000.0,22000000.0,437000000.0,320000000.0,
Other Special Charges,-28000000.0,-22000000.0,-524000000.0,-320000000.0,
Write Off,,0.0,87000000.0,0.0,0.0
Impairment Of Capital Assets,-907000000.0,-562000000.0,-509000000.0,-464000000.0,
Net Non Operating Interest Income Expense,-25000000.0,-66000000.0,-62000000.0,-43000000.0,
Total Other Finance Cost,-45000000.0,16000000.0,-9000000.0,5000000.0,
Interest Expense Non Operating,105000000.0,100000000.0,82000000.0,46000000.0,
Interest Income Non Operating,35000000.0,50000000.0,11000000.0,8000000.0,
Operating Income,3633000000.0,4679000000.0,6931000000.0,3308000000.0,
Operating Expense,7514000000.0,7437000000.0,6816000000.0,6526000000.0,
Other Operating Expenses,4739000000.0,4691000000.0,4585000000.0,3814000000.0,
Depreciation And Amortization In Income Statement,1388000000.0,1360000000.0,1345000000.0,1261000000.0,
Amortization,16000000.0,9000000.0,,,
Depreciation Income Statement,1372000000.0,1351000000.0,1345000000.0,1261000000.0,
Gross Profit,11147000000.0,12116000000.0,13747000000.0,9834000000.0,
Cost Of Revenue,11612000000.0,10679000000.0,10205000000.0,9645000000.0,
Total Revenue,22759000000.0,22795000000.0,23952000000.0,19479000000.0,
Operating Revenue,22759000000.0,22795000000.0,23952000000.0,19479000000.0,
