,2025-04-30,2024-04-30,2023-04-30,2022-04-30,2021-04-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.274344,0.331978,0.248185,0.206,
Normalized EBITDA,-35496000.0,8761527.0,-20357781.0,2465830.0,
Total Unusual Items,,,,0.0,2931076.0
Total Unusual Items Excluding Goodwill,,,,0.0,2931076.0
Net Income From Continuing Operation Net Minority Interest,-30852000.0,4032478.0,-16181566.0,21272345.0,
Reconciled Depreciation,6541000.0,2165447.0,1155520.0,1264258.0,
Reconciled Cost Of Revenue,15718000.0,12856560.0,13430545.0,9166342.0,
EBITDA,-35496000.0,8761527.0,-20357781.0,2465830.0,
EBIT,-42037000.0,6596080.0,-21513301.0,1201572.0,
Net Interest Income,-141000.0,-475895.0,-127405.0,-25001.0,
Interest Expense,479000.0,559635.0,10022.0,16904.0,
Interest Income,338000.0,83740.0,0.0,1903.0,
Normalized Income,-30852000.0,4032478.0,-16181566.0,21272345.0,
Net Income From Continuing And Discontinued Operation,-30852000.0,4032478.0,-16181566.0,21272345.0,
Total Expenses,132650000.0,103428071.0,99560423.0,63168745.0,
Total Operating Income As Reported,-42375000.0,6512340.0,-19704443.0,1038781.0,
Diluted Average Shares,,19279374.0,18322164.0,18169655.0,15346686.0
Basic Average Shares,,18430789.0,18322164.0,17801305.0,15346686.0
Diluted EPS,,0.22,-0.88,1.17,-0.14
Basic EPS,,0.23,-0.88,1.19,-0.14
Diluted NI Availto Com Stockholders,-30852000.0,4032478.0,-16181566.0,21272345.0,
Net Income Common Stockholders,-30852000.0,4032478.0,-16181566.0,21272345.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-30852000.0,4032478.0,-16181566.0,21272345.0,
Net Income Including Noncontrolling Interests,-30852000.0,4032478.0,-16181566.0,21272345.0,
Net Income Continuous Operations,-30852000.0,4032478.0,-16181566.0,21272345.0,
Tax Provision,-11664000.0,2003967.0,-5341757.0,-20087677.0,
Pretax Income,-42516000.0,6036445.0,-21523323.0,1184668.0,
Special Income Charges,,,,0.0,2931076.0
Other Special Charges,,,,,-2931076.0
Net Non Operating Interest Income Expense,-141000.0,-475895.0,-127405.0,-25001.0,
Total Other Finance Cost,,,117383.0,10000.0,
Interest Expense Non Operating,479000.0,559635.0,10022.0,16904.0,
Interest Income Non Operating,338000.0,83740.0,0.0,1903.0,
Operating Income,-41550000.0,690562.0,-25288146.0,-7445083.0,
Operating Expense,116932000.0,90571511.0,86129878.0,54002403.0,
Other Operating Expenses,59955000.0,40924418.0,45333620.0,29579953.0,
Depreciation And Amortization In Income Statement,6541000.0,2165447.0,1155239.0,1264258.0,
Amortization,,399064.0,,,594708.0
Depreciation Income Statement,6541000.0,1766383.0,1155239.0,1264258.0,
Selling General And Administration,,,,29579953.0,18139430.0
General And Administrative Expense,,,,29579953.0,18139430.0
Gross Profit,75382000.0,91262073.0,60841732.0,46557320.0,
Cost Of Revenue,15718000.0,12856560.0,13430545.0,9166342.0,
Total Revenue,91100000.0,104118633.0,74272277.0,55723662.0,
Operating Revenue,91100000.0,104118633.0,74272277.0,55723662.0,
