,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-68069000.0,-173325000.0,-108330000.0,55625000.0,
Total Unusual Items,,-10580000.0,,0.0,0.0
Total Unusual Items Excluding Goodwill,,-10580000.0,,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,-83129000.0,-177839000.0,-113406000.0,51781000.0,
Reconciled Depreciation,4583000.0,4316000.0,3982000.0,3474000.0,
Reconciled Cost Of Revenue,,,0.0,39091000.0,0.0
EBITDA,-68069000.0,-173325000.0,-108330000.0,55625000.0,
EBIT,-72652000.0,-177641000.0,-113109000.0,52151000.0,
Net Interest Income,-8018000.0,2927000.0,-297000.0,-369000.0,
Interest Expense,10477000.0,198000.0,297000.0,370000.0,
Interest Income,2459000.0,3125000.0,0.0,1000.0,
Normalized Income,-83129000.0,-177839000.0,-113406000.0,51781000.0,
Net Income From Continuing And Discontinued Operation,-83129000.0,-177839000.0,-113406000.0,51781000.0,
Total Expenses,171376000.0,186444000.0,174359000.0,155330000.0,
Total Operating Income As Reported,-75111000.0,-180765000.0,-113110000.0,52576000.0,
Diluted Average Shares,51868406.0,51868406.0,51831913.0,51748406.0,
Basic Average Shares,51868406.0,51868406.0,51831913.0,51748406.0,
Diluted EPS,-1.6,-3.43,-2.19,1.0,
Basic EPS,-1.6,-3.43,-2.19,1.0,
Diluted NI Availto Com Stockholders,-83129000.0,-177839000.0,-113406000.0,51781000.0,
Net Income Common Stockholders,-83129000.0,-177839000.0,-113406000.0,51781000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-83129000.0,-177839000.0,-113406000.0,51781000.0,
Net Income Including Noncontrolling Interests,-83129000.0,-177839000.0,-113406000.0,51781000.0,
Net Income Continuous Operations,-83129000.0,-177839000.0,-113406000.0,51781000.0,
Tax Provision,0.0,0.0,0.0,0.0,
Pretax Income,-83129000.0,-177839000.0,-113406000.0,51781000.0,
Special Income Charges,,-10580000.0,,0.0,0.0
Other Special Charges,,,,39091000.0,
Restructuring And Mergern Acquisition,,10580000.0,,,
Net Non Operating Interest Income Expense,-8018000.0,2927000.0,-297000.0,-369000.0,
Interest Expense Non Operating,10477000.0,198000.0,297000.0,370000.0,
Interest Income Non Operating,2459000.0,3125000.0,0.0,1000.0,
Operating Income,-76748000.0,-180766000.0,-113223000.0,52452000.0,
Operating Expense,171376000.0,186444000.0,174359000.0,116239000.0,
Other Operating Expenses,138432000.0,129088000.0,127126000.0,81741000.0,
Depreciation And Amortization In Income Statement,4583000.0,4316000.0,4779000.0,3474000.0,
Depreciation Income Statement,4583000.0,4316000.0,4779000.0,3474000.0,
Selling General And Administration,,,125906000.0,81737000.0,65630000.0
General And Administrative Expense,,,125906000.0,81737000.0,65630000.0
Gross Profit,,,61136000.0,168691000.0,0.0
Cost Of Revenue,,,0.0,39091000.0,0.0
Total Revenue,94628000.0,5678000.0,61136000.0,207782000.0,
Operating Revenue,94628000.0,5678000.0,61136000.0,207782000.0,
