,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.099143,0.002544,0.0,
Normalized EBITDA,-15456000.0,-12490000.0,-14674000.0,-28426000.0,
Total Unusual Items,,,,0.0,13989000.0
Total Unusual Items Excluding Goodwill,,,,0.0,13989000.0
Net Income From Continuing Operation Net Minority Interest,-20509000.0,-32175000.0,-23526000.0,-36275000.0,
Reconciled Depreciation,3930000.0,22986000.0,8730000.0,4847000.0,
Reconciled Cost Of Revenue,9588000.0,1529000.0,606000.0,1580000.0,
EBITDA,-15456000.0,-12490000.0,-14674000.0,-28426000.0,
EBIT,-19386000.0,-35476000.0,-23404000.0,-33273000.0,
Net Interest Income,-1084000.0,-81000.0,-182000.0,-3002000.0,
Interest Expense,1123000.0,240000.0,182000.0,3002000.0,
Interest Income,39000.0,159000.0,0.0,0.0,
Normalized Income,-20509000.0,-32175000.0,-23526000.0,-36275000.0,
Net Income From Continuing And Discontinued Operation,-20509000.0,-32175000.0,-23526000.0,-36275000.0,
Total Expenses,28827000.0,39006000.0,24133000.0,33716000.0,
Rent Expense Supplemental,,,,,38000.0
Total Operating Income As Reported,-19425000.0,-35635000.0,-23404000.0,-33273000.0,
Diluted Average Shares,,231755446.0,79953171.0,46249414.0,46249414.0
Basic Average Shares,,231755446.0,79953171.0,46249414.0,46249414.0
Diluted EPS,,-0.14,-0.1,-0.8,-0.3
Basic EPS,,-0.14,-0.1,-0.8,-0.3
Diluted NI Availto Com Stockholders,-20509000.0,-32175000.0,-23526000.0,-36275000.0,
Net Income Common Stockholders,-20509000.0,-32175000.0,-23526000.0,-36275000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-20509000.0,-32175000.0,-23526000.0,-36275000.0,
Net Income Including Noncontrolling Interests,-20509000.0,-32175000.0,-23526000.0,-36275000.0,
Net Income Continuous Operations,-20509000.0,-32175000.0,-23526000.0,-36275000.0,
Tax Provision,0.0,-3541000.0,-60000.0,0.0,
Pretax Income,-20509000.0,-35716000.0,-23586000.0,-36275000.0,
Other Non Operating Income Expenses,1586000.0,1563000.0,121000.0,-67000.0,
Special Income Charges,,,,0.0,13989000.0
Other Special Charges,,,,,-13989000.0
Write Off,,,,0.0,0.0
Net Non Operating Interest Income Expense,-1084000.0,-81000.0,-182000.0,-3002000.0,
Interest Expense Non Operating,1123000.0,240000.0,182000.0,3002000.0,
Interest Income Non Operating,39000.0,159000.0,0.0,0.0,
Operating Income,-20873000.0,-37184000.0,-23404000.0,-33274000.0,
Operating Expense,19239000.0,37477000.0,23527000.0,32136000.0,
Other Operating Expenses,6803000.0,7574000.0,11045000.0,19173000.0,
Depreciation And Amortization In Income Statement,3930000.0,22986000.0,4365000.0,4847000.0,
Amortization,2859000.0,21884000.0,3217000.0,3949000.0,
Depreciation Income Statement,1071000.0,1102000.0,1148000.0,898000.0,
Selling General And Administration,,,,19173000.0,17733000.0
General And Administrative Expense,,,,19173000.0,17733000.0
Gross Profit,-1634000.0,293000.0,123000.0,-1138000.0,
Cost Of Revenue,9588000.0,1529000.0,606000.0,1580000.0,
Total Revenue,7954000.0,1822000.0,729000.0,442000.0,
Operating Revenue,7954000.0,1822000.0,729000.0,442000.0,
