,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,7220000.0,-12293000.0,-37428000.0,-23337000.0,
Total Unusual Items,0.0,0.0,,,-867000.0
Total Unusual Items Excluding Goodwill,0.0,0.0,,,-867000.0
Net Income From Continuing Operation Net Minority Interest,-4178000.0,-89997000.0,-94201000.0,-163440000.0,
Reconciled Depreciation,8210000.0,50612000.0,53239000.0,11499000.0,
Reconciled Cost Of Revenue,943447000.0,162990000.0,295637000.0,328900000.0,
EBITDA,7220000.0,-12293000.0,-37428000.0,-23337000.0,
EBIT,-990000.0,-62905000.0,-90667000.0,-34836000.0,
Net Interest Income,-2956000.0,-17518000.0,2868000.0,-124482000.0,
Interest Expense,3188000.0,27092000.0,3534000.0,128604000.0,
Interest Income,232000.0,9574000.0,6402000.0,4122000.0,
Normalized Income,-4178000.0,-89997000.0,-94201000.0,-163440000.0,
Net Income From Continuing And Discontinued Operation,-4178000.0,-89997000.0,-94201000.0,-163440000.0,
Total Expenses,959705000.0,224972000.0,382510000.0,365707000.0,
Total Operating Income As Reported,-1243000.0,-70879000.0,-95287000.0,-33468000.0,
Diluted Average Shares,12206639239.0,9393877824.0,8768877824.0,8505700189.0,
Basic Average Shares,12206639239.0,9393877824.0,8768877824.0,8505700189.0,
Diluted EPS,-0.000342,-0.00958,-0.010743,-0.019215,
Basic EPS,-0.000342,-0.00958,-0.010743,-0.019215,
Diluted NI Availto Com Stockholders,-4178000.0,-89997000.0,-94201000.0,-163440000.0,
Net Income Common Stockholders,-4178000.0,-89997000.0,-94201000.0,-163440000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-4178000.0,-89997000.0,-94201000.0,-163440000.0,
Net Income Including Noncontrolling Interests,-4178000.0,-89997000.0,-94201000.0,-163440000.0,
Net Income Continuous Operations,-4178000.0,-89997000.0,-94201000.0,-163440000.0,
Tax Provision,0.0,0.0,,,
Pretax Income,-4178000.0,-89997000.0,-94201000.0,-163440000.0,
Other Non Operating Income Expenses,,-1600000.0,,,
Net Non Operating Interest Income Expense,-2956000.0,-17518000.0,2868000.0,-124482000.0,
Interest Expense Non Operating,3188000.0,27092000.0,3534000.0,128604000.0,
Interest Income Non Operating,232000.0,9574000.0,6402000.0,4122000.0,
Operating Income,-1243000.0,-70879000.0,-95287000.0,-33468000.0,
Operating Expense,16258000.0,61982000.0,86873000.0,36807000.0,
Other Operating Expenses,19101000.0,13182000.0,36031000.0,25694000.0,
Depreciation And Amortization In Income Statement,8210000.0,49012000.0,51457000.0,11499000.0,
Depreciation Income Statement,8210000.0,49012000.0,51457000.0,11499000.0,
Selling General And Administration,,,21412000.0,25496000.0,10923000.0
General And Administrative Expense,,,21412000.0,25496000.0,10923000.0
Gross Profit,15015000.0,-8897000.0,-8414000.0,3339000.0,
Cost Of Revenue,943447000.0,162990000.0,295637000.0,328900000.0,
Total Revenue,958462000.0,154093000.0,287223000.0,332239000.0,
Operating Revenue,958462000.0,154093000.0,287223000.0,332239000.0,
