,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-59360.95848,-4411946.366782,3635352.37138,979754.084725,
Tax Rate For Calcs,0.206114,0.206484,0.206097,0.206004,
Normalized EBITDA,121741000.0,54543000.0,61691000.0,139837000.0,
Total Unusual Items,-288000.0,-21367000.0,17639000.0,4756000.0,
Total Unusual Items Excluding Goodwill,-288000.0,-21367000.0,17639000.0,4756000.0,
Net Income From Continuing Operation Net Minority Interest,76864000.0,10549000.0,54503000.0,106910000.0,
Reconciled Depreciation,0.0,600000.0,,450000.0,433000.0
Reconciled Cost Of Revenue,5334000.0,4587000.0,3409000.0,4198000.0,
EBITDA,121453000.0,33176000.0,79330000.0,144593000.0,
EBIT,121453000.0,32576000.0,79330000.0,144593000.0,
Net Interest Income,-24178000.0,-18837000.0,-11086000.0,-10381000.0,
Interest Expense,24633000.0,19282000.0,10678000.0,9945000.0,
Interest Income,455000.0,445000.0,62000.0,26000.0,
Normalized Income,77092639.04152,27504053.633218,40499352.37138,103133754.084725,
Net Income From Continuing And Discontinued Operation,76864000.0,10549000.0,54503000.0,106910000.0,
Total Expenses,8549000.0,8253000.0,5975000.0,6743000.0,
Total Operating Income As Reported,,53499000.0,62099000.0,140273000.0,67188000.0
Diluted Average Shares,3649763.0,3650173.0,3650000.0,3650000.0,
Basic Average Shares,,3650173.0,3650000.0,3650000.0,3650000.0
Diluted EPS,,2.89,14.93,29.29,11.56
Basic EPS,,2.89,14.93,29.29,11.56
Diluted NI Availto Com Stockholders,76864000.0,10549000.0,54503000.0,106910000.0,
Net Income Common Stockholders,76864000.0,10549000.0,54503000.0,106910000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,76864000.0,10549000.0,54503000.0,106910000.0,
Net Income Including Noncontrolling Interests,76864000.0,10549000.0,54503000.0,106910000.0,
Net Income Continuous Operations,76864000.0,10549000.0,54503000.0,106910000.0,
Tax Provision,19956000.0,2745000.0,14149000.0,27738000.0,
Pretax Income,96820000.0,13294000.0,68652000.0,134648000.0,
Net Non Operating Interest Income Expense,-24178000.0,-18837000.0,-11086000.0,-10381000.0,
Total Other Finance Cost,,600000.0,470000.0,462000.0,443000.0
Interest Expense Non Operating,24633000.0,19282000.0,10678000.0,9945000.0,
Interest Income Non Operating,455000.0,445000.0,62000.0,26000.0,
Operating Income,81358000.0,76708000.0,70046000.0,65512000.0,
Operating Expense,3215000.0,3666000.0,2566000.0,2545000.0,
Selling General And Administration,3215000.0,3666000.0,2566000.0,2545000.0,
General And Administrative Expense,3215000.0,3666000.0,2566000.0,2545000.0,
Gross Profit,84573000.0,80374000.0,72612000.0,68057000.0,
Cost Of Revenue,5334000.0,4587000.0,3409000.0,4198000.0,
Total Revenue,89907000.0,84961000.0,76021000.0,72255000.0,
Operating Revenue,89907000.0,84961000.0,76021000.0,72255000.0,
