,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,6272.742553
Tax Rate For Calcs,0.206,0.00159,0.206,0.000205
Normalized EBITDA,-20124000.0,-21141000.0,-44797000.0,-70218000.0
Total Unusual Items,0.0,0.0,0.0,30534000.0
Total Unusual Items Excluding Goodwill,0.0,0.0,0.0,30534000.0
Net Income From Continuing Operation Net Minority Interest,-47750000.0,-35784000.0,-63774000.0,-53534000.0
Reconciled Depreciation,11219000.0,11037000.0,11034000.0,10965000.0
EBITDA,-20124000.0,-21141000.0,-44797000.0,-39684000.0
EBIT,-31343000.0,-32178000.0,-55831000.0,-50649000.0
Net Interest Income,-16525000.0,-3992000.0,-7840000.0,-3165000.0
Interest Expense,16389000.0,3663000.0,7826000.0,2896000.0
Interest Income,9000.0,8000.0,3000.0,1000.0
Normalized Income,-47750000.0,-35784000.0,-63774000.0,-84061727.257447
Net Income From Continuing And Discontinued Operation,-47750000.0,-35784000.0,-63774000.0,-53534000.0
Total Expenses,33533000.0,40638000.0,61308000.0,80973000.0
Total Operating Income As Reported,-31207000.0,-31849000.0,-54974000.0,-50109000.0
Diluted Average Shares,127843198.0,103404610.0,59604127.0,56680773.0
Basic Average Shares,127843198.0,103404610.0,59604127.0,56680773.0
Diluted EPS,-0.37042,-0.350924,-1.072269,-0.941457
Basic EPS,-0.37042,-0.350924,-1.072269,-0.941457
Diluted NI Availto Com Stockholders,-47750000.0,-35784000.0,-63774000.0,-53534000.0
Net Income Common Stockholders,-47750000.0,-35784000.0,-63774000.0,-53534000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-47750000.0,-35784000.0,-63774000.0,-53534000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,-47750000.0,-35784000.0,-63774000.0,-53534000.0
Net Income Discontinuous Operations,,-17399000.0,0.0,
Net Income Continuous Operations,-47750000.0,-35784000.0,-63774000.0,-53534000.0
Tax Provision,18000.0,-57000.0,117000.0,-11000.0
Pretax Income,-47732000.0,-35841000.0,-63657000.0,-53545000.0
Special Income Charges,0.0,0.0,,
Write Off,0.0,0.0,,
Net Non Operating Interest Income Expense,-16525000.0,-3992000.0,-7840000.0,-3165000.0
Total Other Finance Cost,145000.0,337000.0,17000.0,270000.0
Interest Expense Non Operating,16389000.0,3663000.0,7826000.0,2896000.0
Interest Income Non Operating,9000.0,8000.0,3000.0,1000.0
Operating Income,-31285000.0,-32184000.0,-55440000.0,-80973000.0
Operating Expense,33533000.0,40638000.0,61308000.0,80973000.0
Other Operating Expenses,,,,14283000.0
Research And Development,22105000.0,24946000.0,51356000.0,57378000.0
Selling General And Administration,11428000.0,15905000.0,10155000.0,9855000.0
Selling And Marketing Expense,1296000.0,1799000.0,2293000.0,2309000.0
General And Administrative Expense,10132000.0,14106000.0,7862000.0,7546000.0
Total Revenue,2248000.0,8454000.0,5868000.0,0.0
Operating Revenue,2248000.0,8454000.0,5868000.0,0.0
