,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.003466,0.0
Normalized EBITDA,-20007000.0,-29435000.0,-17724000.0
Net Income From Continuing Operation Net Minority Interest,-29297000.0,-35072000.0,-21550000.0
Reconciled Depreciation,6957000.0,5257000.0,3242000.0
Reconciled Cost Of Revenue,23977000.0,32231000.0,1886000.0
EBITDA,-20007000.0,-29435000.0,-17724000.0
EBIT,-26964000.0,-34692000.0,-20966000.0
Net Interest Income,-2333000.0,-501000.0,-154000.0
Interest Expense,,658000.0,584000.0
Interest Income,,156000.0,430000.0
Normalized Income,-29297000.0,-35072000.0,-21550000.0
Net Income From Continuing And Discontinued Operation,-29297000.0,-35072000.0,-21550000.0
Total Expenses,92220000.0,96311000.0,44690000.0
Total Operating Income As Reported,-26965000.0,-34693000.0,-21396000.0
Diluted Average Shares,41852857.0,42094095.0,42094095.0
Basic Average Shares,41852857.0,42094095.0,42094095.0
Diluted EPS,-0.7,-0.833181,-0.511948
Basic EPS,-0.7,-0.833181,-0.511948
Diluted NI Availto Com Stockholders,-29297000.0,-35072000.0,-21550000.0
Net Income Common Stockholders,-29297000.0,-35072000.0,-21550000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,-29297000.0,-35072000.0,-21550000.0
Net Income Including Noncontrolling Interests,-29297000.0,-35072000.0,-21550000.0
Net Income Continuous Operations,-29297000.0,-35072000.0,-21550000.0
Tax Provision,0.0,-122000.0,0.0
Pretax Income,-29297000.0,-35194000.0,-21550000.0
Net Non Operating Interest Income Expense,-2333000.0,-501000.0,-154000.0
Interest Expense Non Operating,,658000.0,584000.0
Interest Income Non Operating,,156000.0,430000.0
Operating Income,-26964000.0,-34692000.0,-21396000.0
Operating Expense,68243000.0,64080000.0,42804000.0
Other Operating Expenses,61983000.0,59276000.0,39811000.0
Depreciation And Amortization In Income Statement,6957000.0,5257000.0,3242000.0
Depreciation Income Statement,6957000.0,5257000.0,3242000.0
Gross Profit,41279000.0,29388000.0,21408000.0
Cost Of Revenue,23977000.0,32231000.0,1886000.0
Total Revenue,65256000.0,61619000.0,23294000.0
Operating Revenue,65256000.0,61619000.0,23294000.0
