,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,16469.570234,-1750846.814896,-1802732.835923,-4675974.529141,
Tax Rate For Calcs,0.164696,0.225276,0.234,0.249852,
Normalized EBITDA,86739000.0,95440000.0,123610000.0,143622000.0,
Total Unusual Items,100000.0,-7772000.0,-7704000.0,-18715000.0,
Total Unusual Items Excluding Goodwill,100000.0,-7772000.0,-7704000.0,-18715000.0,
Net Income From Continuing Operation Net Minority Interest,17376000.0,-11359000.0,22381000.0,20233000.0,
Reconciled Depreciation,56283000.0,92039000.0,79237000.0,88312000.0,
EBITDA,86839000.0,87668000.0,115906000.0,124907000.0,
EBIT,30556000.0,-4371000.0,36669000.0,36595000.0,
Net Interest Income,-9327000.0,-11497000.0,-8931000.0,-11166000.0,
Interest Expense,9754000.0,10291000.0,7451000.0,9623000.0,
Interest Income,1508000.0,126000.0,10000.0,11000.0,
Normalized Income,17292469.570234,-5337846.814896,28282267.164077,34272025.470859,
Net Income From Continuing And Discontinued Operation,17376000.0,-11359000.0,22381000.0,20233000.0,
Total Expenses,739489000.0,877661000.0,882900000.0,955986000.0,
Total Operating Income As Reported,30128000.0,-3164000.0,38143000.0,39863000.0,
Diluted Average Shares,,24054142.0,24175714.0,24555677.0,24555677.0
Basic Average Shares,,24054142.0,24175714.0,24555677.0,24555677.0
Diluted EPS,,-0.47,0.93,0.82,1.54
Basic EPS,,-0.47,0.93,0.82,1.54
Diluted NI Availto Com Stockholders,17376000.0,-11359000.0,22381000.0,20233000.0,
Net Income Common Stockholders,17376000.0,-11359000.0,22381000.0,20233000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,17376000.0,-11359000.0,22381000.0,20233000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,17376000.0,-11359000.0,22381000.0,20233000.0,
Net Income Continuous Operations,17376000.0,-11359000.0,22381000.0,20233000.0,
Tax Provision,3426000.0,-3303000.0,6837000.0,6739000.0,
Pretax Income,20802000.0,-14662000.0,29218000.0,26972000.0,
Special Income Charges,100000.0,-7772000.0,-7710000.0,-16991000.0,
Other Special Charges,,,,-869000.0,
Restructuring And Mergern Acquisition,-100000.0,7772000.0,7710000.0,17860000.0,
Net Non Operating Interest Income Expense,-9327000.0,-11497000.0,-8931000.0,-11166000.0,
Total Other Finance Cost,1081000.0,1332000.0,1490000.0,1554000.0,
Interest Expense Non Operating,9754000.0,10291000.0,7451000.0,9623000.0,
Interest Income Non Operating,1508000.0,126000.0,10000.0,11000.0,
Operating Income,30028000.0,4608000.0,45852000.0,56855000.0,
Operating Expense,739489000.0,877661000.0,882900000.0,955986000.0,
Other Operating Expenses,137821000.0,164683000.0,169891000.0,212578000.0,
Depreciation And Amortization In Income Statement,56133000.0,84267000.0,71527000.0,75508000.0,
Amortization,995000.0,1576000.0,1822000.0,,
Depreciation Income Statement,55138000.0,82691000.0,69705000.0,75508000.0,
Selling General And Administration,,,169891000.0,212578000.0,255615000.0
General And Administrative Expense,,,169891000.0,212578000.0,255615000.0
Total Revenue,769517000.0,882269000.0,928752000.0,1012841000.0,
Operating Revenue,769517000.0,882269000.0,928752000.0,1012841000.0,
