,2025-04-30,2024-04-30,2023-04-30,2022-04-30
Tax Effect Of Unusual Items,0.0,0.0,96902.041618,0.0
Tax Rate For Calcs,0.210003,0.210584,0.213912,0.210547
Normalized EBITDA,25763000.0,20115000.0,14978000.0,20714000.0
Total Unusual Items,,0.0,453000.0,0.0
Total Unusual Items Excluding Goodwill,,0.0,453000.0,0.0
Net Income From Continuing Operation Net Minority Interest,20754000.0,16543000.0,12013000.0,16108000.0
Reconciled Depreciation,216000.0,125000.0,145000.0,309000.0
Reconciled Cost Of Revenue,34664000.0,29953000.0,25207000.0,27614000.0
EBITDA,25763000.0,20115000.0,15431000.0,20714000.0
EBIT,25547000.0,19990000.0,15286000.0,20405000.0
Net Interest Income,1019000.0,937000.0,69000.0,-1000.0
Interest Expense,,1000.0,4000.0,1000.0
Interest Income,,938000.0,73000.0,0.0
Normalized Income,20754000.0,16543000.0,11656902.041618,16108000.0
Net Income From Continuing And Discontinued Operation,20754000.0,16543000.0,12013000.0,16108000.0
Total Expenses,133066000.0,123732000.0,103275000.0,86804000.0
Total Operating Income As Reported,25548000.0,19990000.0,14749000.0,20314000.0
Diluted Average Shares,,9876634.0,10261250.0,10261250.0
Basic Average Shares,,9876634.0,10261250.0,10261250.0
Diluted EPS,,1.63,1.170715,1.569789
Basic EPS,,1.63,1.170715,1.569789
Diluted NI Availto Com Stockholders,20754000.0,16543000.0,12013000.0,16108000.0
Net Income Common Stockholders,20754000.0,16543000.0,12013000.0,16108000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,20754000.0,16543000.0,12013000.0,16108000.0
Net Income Including Noncontrolling Interests,20754000.0,16543000.0,12013000.0,16108000.0
Net Income Continuous Operations,20754000.0,16543000.0,12013000.0,16108000.0
Tax Provision,5517000.0,4413000.0,3269000.0,4296000.0
Pretax Income,26271000.0,20956000.0,15282000.0,20404000.0
Other Non Operating Income Expenses,-296000.0,29000.0,,
Net Non Operating Interest Income Expense,1019000.0,937000.0,69000.0,-1000.0
Interest Expense Non Operating,,1000.0,4000.0,1000.0
Interest Income Non Operating,,938000.0,73000.0,0.0
Operating Income,25547000.0,19990000.0,14761000.0,20406000.0
Operating Expense,98402000.0,93779000.0,78068000.0,59190000.0
Other Operating Expenses,21812000.0,22581000.0,20177000.0,12939000.0
Depreciation And Amortization In Income Statement,216000.0,125000.0,145000.0,309000.0
Depreciation Income Statement,216000.0,125000.0,145000.0,309000.0
Gross Profit,123949000.0,113769000.0,92829000.0,79596000.0
Cost Of Revenue,34664000.0,29953000.0,25207000.0,27614000.0
Total Revenue,158613000.0,143722000.0,118036000.0,107210000.0
Operating Revenue,158613000.0,143722000.0,118036000.0,107210000.0
