,2024-08-31,2023-08-31,2022-08-31,2021-08-31,2020-08-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.206,0.0,0.0,0.206,
Net Income From Continuing Operation Net Minority Interest,876200000.0,-525500000.0,-1186000000.0,3485400000.0,
Reconciled Depreciation,80000.0,60000.0,50000.0,45000.0,
Net Interest Income,8413000.0,4639000.0,0.0,196000.0,
Interest Expense,0.0,0.0,300000.0,17000.0,
Interest Income,8413000.0,4639000.0,300000.0,213000.0,
Normalized Income,876200000.0,-525500000.0,-1186000000.0,3485400000.0,
Net Income From Continuing And Discontinued Operation,876200000.0,-525500000.0,-1186000000.0,3485400000.0,
Rent Expense Supplemental,,,,,1501000.0
Diluted Average Shares,101883721.0,103039216.0,102241379.0,102511765.0,
Basic Average Shares,101883721.0,103039216.0,102241379.0,102511765.0,
Diluted EPS,8.6,-5.1,-11.6,34.0,
Basic EPS,8.6,-5.1,-11.6,34.0,
Diluted NI Availto Com Stockholders,876200000.0,-525500000.0,-1186000000.0,3485400000.0,
Net Income Common Stockholders,876200000.0,-525500000.0,-1186000000.0,3485400000.0,
Net Income,876200000.0,-525500000.0,-1186000000.0,3485400000.0,
Net Income Including Noncontrolling Interests,876200000.0,-525500000.0,-1186000000.0,3485400000.0,
Net Income Continuous Operations,876200000.0,-525500000.0,-1186000000.0,3485400000.0,
Pretax Income,876200000.0,-525500000.0,-1186000000.0,3485400000.0,
Gain On Sale Of Security,,,,,701500000.0
Operating Expense,18325000.0,32077000.0,24441000.0,21380000.0,
Depreciation And Amortization In Income Statement,80000.0,60000.0,50000.0,45000.0,
Depreciation Income Statement,80000.0,60000.0,50000.0,45000.0,
Total Revenue,894461000.0,-493479000.0,-1161486000.0,3506776000.0,
Operating Revenue,894461000.0,-493479000.0,-1161486000.0,3506776000.0,
