,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.206,0.0,0.0,4.7e-05
Net Income From Continuing Operation Net Minority Interest,-85139000.0,22426000.0,-781998000.0,63739000.0
Reconciled Depreciation,260000.0,297000.0,311000.0,350000.0
Net Interest Income,-4321000.0,-7617000.0,-12930000.0,-8196000.0
Interest Expense,6678000.0,9462000.0,13423000.0,8482000.0
Interest Income,2357000.0,1845000.0,493000.0,286000.0
Normalized Income,-85139000.0,22426000.0,-781998000.0,63739000.0
Net Income From Continuing And Discontinued Operation,-85139000.0,22426000.0,-781998000.0,63739000.0
Diluted Average Shares,130978236.0,125185914.0,115051067.0,105710969.0
Basic Average Shares,130978236.0,125185914.0,115051067.0,104919436.0
Diluted EPS,-0.65,0.18,-6.8,0.605346
Basic EPS,-0.65,0.18,-6.8,0.605346
Diluted NI Availto Com Stockholders,-85139000.0,22426000.0,-781998000.0,63739000.0
Net Income Common Stockholders,-85139000.0,22426000.0,-781998000.0,63739000.0
Net Income,-85139000.0,22426000.0,-781998000.0,63739000.0
Net Income Including Noncontrolling Interests,-85139000.0,22426000.0,-781998000.0,63739000.0
Net Income Continuous Operations,-85139000.0,22426000.0,-781998000.0,63739000.0
Tax Provision,78000.0,0.0,0.0,3000.0
Pretax Income,-85061000.0,22426000.0,-781998000.0,63742000.0
Gain On Sale Of Security,-4897000.0,-19423000.0,69074000.0,37943000.0
Operating Expense,7277000.0,13398000.0,10281000.0,13996000.0
Other Operating Expenses,621000.0,337000.0,555000.0,401000.0
Selling General And Administration,2906000.0,3515000.0,4005000.0,4444000.0
General And Administrative Expense,2906000.0,3515000.0,4005000.0,4444000.0
Total Revenue,-77784000.0,35824000.0,-771717000.0,77738000.0
Operating Revenue,-77784000.0,35824000.0,-771717000.0,77738000.0
