,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,-98000.0,-2387540.0,
Tax Rate For Calcs,0.090198,0.206,0.196,0.206,
Normalized EBITDA,51740000.0,55919000.0,55418000.0,6827000.0,
Total Unusual Items,0.0,0.0,-500000.0,-11590000.0,
Total Unusual Items Excluding Goodwill,0.0,0.0,-500000.0,-11590000.0,
Net Income From Continuing Operation Net Minority Interest,-52078000.0,5563000.0,13220000.0,-10654000.0,
Reconciled Depreciation,103887000.0,47239000.0,36871000.0,5614000.0,
Reconciled Cost Of Revenue,295209000.0,299247000.0,418423000.0,270317000.0,
EBITDA,51740000.0,55919000.0,54918000.0,-4763000.0,
EBIT,-52147000.0,8680000.0,18047000.0,-10377000.0,
Net Interest Income,-4709000.0,-3812000.0,-1492000.0,-244000.0,
Interest Expense,5094000.0,4420000.0,1610000.0,244000.0,
Interest Income,385000.0,608000.0,118000.0,0.0,
Normalized Income,-52078000.0,5563000.0,13622000.0,-1451540.0,
Net Income From Continuing And Discontinued Operation,-52078000.0,5563000.0,13220000.0,-10654000.0,
Total Expenses,397455000.0,336259000.0,448348000.0,290626000.0,
Rent Expense Supplemental,,,,14337000.0,0.0
Total Operating Income As Reported,-52084000.0,8073000.0,18429000.0,-10377000.0,
Diluted Average Shares,55367418.0,52860962.0,49122690.0,44449821.0,
Basic Average Shares,55367418.0,52860962.0,49122690.0,44449821.0,
Diluted EPS,-0.92,0.1,0.27,-0.24,
Basic EPS,-0.92,0.1,0.27,-0.24,
Diluted NI Availto Com Stockholders,-52078000.0,5563000.0,13220000.0,-10654000.0,
Net Income Common Stockholders,-52078000.0,5563000.0,13220000.0,-10654000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-52078000.0,5563000.0,13220000.0,-10654000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,-52078000.0,5563000.0,13220000.0,-10654000.0,
Net Income Continuous Operations,-52078000.0,5563000.0,13220000.0,-10654000.0,
Tax Provision,-5163000.0,-1303000.0,3217000.0,33000.0,
Pretax Income,-57241000.0,4260000.0,16437000.0,-10621000.0,
Special Income Charges,,,0.0,-11590000.0,0.0
Restructuring And Mergern Acquisition,,,0.0,11590000.0,0.0
Net Non Operating Interest Income Expense,-4709000.0,-3812000.0,-1492000.0,-244000.0,
Interest Expense Non Operating,5094000.0,4420000.0,1610000.0,244000.0,
Interest Income Non Operating,385000.0,608000.0,118000.0,0.0,
Operating Income,-52083000.0,8709000.0,18369000.0,1212000.0,
Operating Expense,102246000.0,37012000.0,29925000.0,20309000.0,
Other Operating Expenses,26495000.0,29589000.0,23964000.0,15708000.0,
Depreciation And Amortization In Income Statement,103887000.0,47239000.0,36871000.0,5614000.0,
Depreciation Income Statement,103887000.0,47239000.0,36871000.0,5614000.0,
Selling General And Administration,,,20722000.0,600000.0,2722000.0
General And Administrative Expense,,,20722000.0,600000.0,2722000.0
Rent And Landing Fees,,,,14337000.0,0.0
Gross Profit,50163000.0,45721000.0,48294000.0,21521000.0,
Cost Of Revenue,295209000.0,299247000.0,418423000.0,270317000.0,
Total Revenue,345372000.0,344968000.0,466717000.0,291838000.0,
Operating Revenue,345372000.0,344968000.0,466717000.0,291838000.0,
